N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,CA-WOA,DE,30,87.793,"[87.77, 87.82]",84.476,"[84.40, 84.55]",3.317,1.99e-42,3.02e-11,21.17,1.0,YES
500,10,CA-WOA,GA,30,87.793,"[87.77, 87.82]",84.949,"[84.90, 85.00]",2.844,3.9e-54,3.02e-11,26.14,1.0,YES
500,10,CA-WOA,GWO,30,87.793,"[87.77, 87.82]",84.351,"[84.25, 84.45]",3.442,7.81e-37,3.02e-11,17.21,1.0,YES
500,10,CA-WOA,HHO,30,87.793,"[87.77, 87.82]",84.23,"[84.13, 84.33]",3.563,8.87e-39,3.02e-11,18.99,1.0,YES
500,10,CA-WOA,PSO,30,87.793,"[87.77, 87.82]",84.037,"[83.99, 84.08]",3.756,2.39e-62,3.02e-11,36.27,1.0,YES
500,10,CA-WOA,WOA,30,87.793,"[87.77, 87.82]",84.472,"[84.39, 84.56]",3.321,6.08e-40,3e-11,19.36,1.0,YES
500,20,CA-WOA,DE,30,87.793,"[87.77, 87.82]",84.476,"[84.40, 84.55]",3.317,1.99e-42,3.02e-11,21.17,1.0,YES
500,20,CA-WOA,GA,30,87.793,"[87.77, 87.82]",84.949,"[84.90, 85.00]",2.844,3.9e-54,3.02e-11,26.14,1.0,YES
500,20,CA-WOA,GWO,30,87.793,"[87.77, 87.82]",84.351,"[84.25, 84.45]",3.442,7.81e-37,3.02e-11,17.21,1.0,YES
500,20,CA-WOA,HHO,30,87.793,"[87.77, 87.82]",84.23,"[84.13, 84.33]",3.563,8.87e-39,3.02e-11,18.99,1.0,YES
500,20,CA-WOA,PSO,30,87.793,"[87.77, 87.82]",84.037,"[83.99, 84.08]",3.756,2.39e-62,3.02e-11,36.27,1.0,YES
500,20,CA-WOA,WOA,30,87.793,"[87.77, 87.82]",84.472,"[84.39, 84.56]",3.321,6.08e-40,3e-11,19.36,1.0,YES
1000,10,CA-WOA,DE,30,88.141,"[88.11, 88.18]",86.921,"[86.90, 86.95]",1.22,4.73e-50,3.02e-11,15.17,1.0,YES
1000,10,CA-WOA,GA,30,88.141,"[88.11, 88.18]",86.956,"[86.93, 86.98]",1.185,7.68e-50,3.02e-11,14.48,1.0,YES
1000,10,CA-WOA,GWO,30,88.141,"[88.11, 88.18]",86.671,"[86.63, 86.71]",1.47,2.06e-51,3.02e-11,14.62,1.0,YES
1000,10,CA-WOA,HHO,30,88.141,"[88.11, 88.18]",86.64,"[86.60, 86.68]",1.501,1.93e-49,3.02e-11,14.17,1.0,YES
1000,10,CA-WOA,PSO,30,88.141,"[88.11, 88.18]",86.677,"[86.64, 86.72]",1.464,6.04e-53,3.02e-11,15.14,1.0,YES
1000,10,CA-WOA,WOA,30,88.141,"[88.11, 88.18]",86.578,"[86.53, 86.62]",1.564,3.09e-49,3.02e-11,14.42,1.0,YES
1000,20,CA-WOA,DE,30,88.686,"[88.67, 88.71]",86.921,"[86.90, 86.95]",1.765,7.6e-67,3.02e-11,29.08,1.0,YES
1000,20,CA-WOA,GA,30,88.686,"[88.67, 88.71]",86.956,"[86.93, 86.98]",1.73,1.61e-64,3.02e-11,27.65,1.0,YES
1000,20,CA-WOA,GWO,30,88.686,"[88.67, 88.71]",86.671,"[86.63, 86.71]",2.015,4.22e-50,3.02e-11,23.55,1.0,YES
1000,20,CA-WOA,HHO,30,88.686,"[88.67, 88.71]",86.64,"[86.60, 86.68]",2.046,2.52e-47,3.02e-11,22.27,1.0,YES
1000,20,CA-WOA,PSO,30,88.686,"[88.67, 88.71]",86.677,"[86.64, 86.72]",2.009,1.16e-52,3.02e-11,24.8,1.0,YES
1000,20,CA-WOA,WOA,30,88.686,"[88.67, 88.71]",86.578,"[86.53, 86.62]",2.108,1.25e-46,3.02e-11,22.26,1.0,YES
1500,10,CA-WOA,DE,30,87.24,"[87.16, 87.32]",87.21,"[87.17, 87.24]",0.03,0.476,0.483,0.19,0.107,no
1500,10,CA-WOA,GA,30,87.24,"[87.16, 87.32]",87.316,"[87.30, 87.34]",-0.076,0.0607,0.201,-0.5,-0.193,no
1500,10,CA-WOA,GWO,30,87.24,"[87.16, 87.32]",86.959,"[86.92, 87.00]",0.28,6.48e-08,7.04e-07,1.66,0.747,YES
1500,10,CA-WOA,HHO,30,87.24,"[87.16, 87.32]",87.025,"[86.99, 87.05]",0.215,5.48e-06,4.08e-05,1.37,0.618,YES
1500,10,CA-WOA,PSO,30,87.24,"[87.16, 87.32]",86.858,"[86.82, 86.89]",0.382,1.98e-11,8.89e-10,2.39,0.922,YES
1500,10,CA-WOA,WOA,30,87.24,"[87.16, 87.32]",86.919,"[86.88, 86.96]",0.321,1.87e-09,1.43e-08,1.98,0.853,YES
1500,20,CA-WOA,DE,30,88.725,"[88.69, 88.76]",87.21,"[87.17, 87.24]",1.515,1.25e-55,3.02e-11,16.87,1.0,YES
1500,20,CA-WOA,GA,30,88.725,"[88.69, 88.76]",87.316,"[87.30, 87.34]",1.41,1.21e-52,3.02e-11,19.72,1.0,YES
1500,20,CA-WOA,GWO,30,88.725,"[88.69, 88.76]",86.959,"[86.92, 87.00]",1.766,1.41e-52,3.02e-11,17.14,1.0,YES
1500,20,CA-WOA,HHO,30,88.725,"[88.69, 88.76]",87.054,"[87.02, 87.08]",1.671,2.88e-60,3.02e-11,20.14,1.0,YES
1500,20,CA-WOA,PSO,30,88.725,"[88.69, 88.76]",86.858,"[86.82, 86.89]",1.867,1.3e-61,3.02e-11,21.24,1.0,YES
1500,20,CA-WOA,WOA,30,88.725,"[88.69, 88.76]",87.06,"[87.04, 87.08]",1.665,2.36e-59,3.02e-11,21.92,1.0,YES
2000,10,CA-WOA,DE,30,87.593,"[87.52, 87.67]",87.444,"[87.41, 87.48]",0.149,0.00073,0.00106,0.95,0.493,YES
2000,10,CA-WOA,GA,30,87.593,"[87.52, 87.67]",87.522,"[87.51, 87.53]",0.071,0.0697,0.105,0.49,0.244,no
2000,10,CA-WOA,GWO,30,87.593,"[87.52, 87.67]",87.247,"[87.23, 87.27]",0.346,2.29e-10,1.07e-09,2.32,0.918,YES
2000,10,CA-WOA,HHO,30,87.593,"[87.52, 87.67]",87.326,"[87.30, 87.35]",0.267,7.26e-08,1.6e-07,1.73,0.789,YES
2000,10,CA-WOA,PSO,30,87.593,"[87.52, 87.67]",87.174,"[87.16, 87.19]",0.419,2.4e-12,1.46e-10,2.83,0.964,YES
2000,10,CA-WOA,WOA,30,87.593,"[87.52, 87.67]",87.277,"[87.25, 87.30]",0.316,1.75e-09,5.46e-09,2.07,0.878,YES
2000,20,CA-WOA,DE,30,88.916,"[88.90, 88.94]",87.444,"[87.41, 87.48]",1.472,8.72e-52,3.02e-11,19.9,1.0,YES
2000,20,CA-WOA,GA,30,88.916,"[88.90, 88.94]",87.522,"[87.51, 87.53]",1.394,3.7e-59,3.02e-11,31.7,1.0,YES
2000,20,CA-WOA,GWO,30,88.916,"[88.90, 88.94]",87.247,"[87.23, 87.27]",1.669,2.38e-71,3.02e-11,31.21,1.0,YES
2000,20,CA-WOA,HHO,30,88.916,"[88.90, 88.94]",87.526,"[87.50, 87.55]",1.39,4.09e-59,3.02e-11,21.87,1.0,YES
2000,20,CA-WOA,PSO,30,88.916,"[88.90, 88.94]",87.174,"[87.16, 87.19]",1.742,2.21e-72,3.02e-11,34.78,1.0,YES
2000,20,CA-WOA,WOA,30,88.916,"[88.90, 88.94]",87.503,"[87.48, 87.52]",1.413,6.93e-66,3.02e-11,25.25,1.0,YES
2500,10,CA-WOA,DE,30,87.504,"[87.45, 87.56]",87.543,"[87.52, 87.56]",-0.039,0.177,0.124,-0.36,-0.232,no
2500,10,CA-WOA,GA,30,87.504,"[87.45, 87.56]",87.591,"[87.58, 87.60]",-0.087,0.00338,0.00275,-0.82,-0.451,YES
2500,10,CA-WOA,GWO,30,87.504,"[87.45, 87.56]",87.367,"[87.34, 87.39]",0.137,3.22e-05,0.000158,1.22,0.569,YES
2500,10,CA-WOA,HHO,30,87.504,"[87.45, 87.56]",87.425,"[87.41, 87.44]",0.079,0.00842,0.0351,0.72,0.318,YES
2500,10,CA-WOA,PSO,30,87.504,"[87.45, 87.56]",87.382,"[87.36, 87.40]",0.122,0.000129,0.00077,1.11,0.507,YES
2500,10,CA-WOA,WOA,30,87.504,"[87.45, 87.56]",87.384,"[87.37, 87.40]",0.12,0.000163,0.00117,1.09,0.489,YES
2500,20,CA-WOA,DE,30,88.173,"[88.05, 88.30]",87.543,"[87.52, 87.56]",0.63,1.83e-11,4.5e-11,2.67,0.991,YES
2500,20,CA-WOA,GA,30,88.173,"[88.05, 88.30]",87.591,"[87.58, 87.60]",0.582,1.32e-10,8.99e-11,2.48,0.976,YES
2500,20,CA-WOA,GWO,30,88.173,"[88.05, 88.30]",87.367,"[87.34, 87.39]",0.806,3.22e-14,3.02e-11,3.4,1.0,YES
2500,20,CA-WOA,HHO,30,88.173,"[88.05, 88.30]",87.625,"[87.60, 87.65]",0.548,4.18e-10,2.15e-10,2.3,0.956,YES
2500,20,CA-WOA,PSO,30,88.173,"[88.05, 88.30]",87.382,"[87.36, 87.40]",0.791,6.36e-14,3.02e-11,3.35,1.0,YES
2500,20,CA-WOA,WOA,30,88.173,"[88.05, 88.30]",87.569,"[87.55, 87.59]",0.604,4.98e-11,4.98e-11,2.56,0.989,YES
3000,10,CA-WOA,DE,30,87.543,"[87.50, 87.58]",87.62,"[87.60, 87.64]",-0.077,0.00118,7.2e-05,-0.9,-0.598,YES
3000,10,CA-WOA,GA,30,87.543,"[87.50, 87.58]",87.694,"[87.68, 87.71]",-0.151,2.25e-08,1.7e-08,-1.87,-0.849,YES
3000,10,CA-WOA,GWO,30,87.543,"[87.50, 87.58]",87.455,"[87.44, 87.47]",0.088,0.000205,9.79e-05,1.06,0.587,YES
3000,10,CA-WOA,HHO,30,87.543,"[87.50, 87.58]",87.501,"[87.49, 87.51]",0.042,0.0523,0.112,0.52,0.24,no
3000,10,CA-WOA,PSO,30,87.543,"[87.50, 87.58]",87.462,"[87.45, 87.47]",0.081,0.000488,0.000587,0.99,0.518,YES
3000,10,CA-WOA,WOA,30,87.543,"[87.50, 87.58]",87.478,"[87.46, 87.49]",0.065,0.00435,0.00667,0.78,0.409,YES
3000,20,CA-WOA,DE,30,88.081,"[87.96, 88.20]",87.624,"[87.60, 87.65]",0.457,9.08e-09,2.15e-10,2.01,0.956,YES
3000,20,CA-WOA,GA,30,88.081,"[87.96, 88.20]",87.698,"[87.69, 87.71]",0.383,2.88e-07,1.31e-08,1.7,0.856,YES
3000,20,CA-WOA,GWO,30,88.081,"[87.96, 88.20]",87.464,"[87.45, 87.48]",0.617,1.14e-11,3.02e-11,2.73,1.0,YES
3000,20,CA-WOA,HHO,30,88.081,"[87.96, 88.20]",87.705,"[87.69, 87.72]",0.376,3.99e-07,2.6e-08,1.66,0.838,YES
3000,20,CA-WOA,PSO,30,88.081,"[87.96, 88.20]",87.462,"[87.45, 87.47]",0.62,1.2e-11,3.02e-11,2.75,1.0,YES
3000,20,CA-WOA,WOA,30,88.081,"[87.96, 88.20]",87.639,"[87.62, 87.65]",0.442,1.88e-08,1.61e-10,1.96,0.962,YES
